# Generated by QuTiP: 150x2 real matrix in decimal format [',' separated values].
0.0000000000,0.0000000003
1.0000000000,0.0000000048
2.0000000000,0.0000000545
3.0000000000,0.0000004351
4.0000000000,0.0000026648
5.0000000000,0.0000131276
6.0000000000,0.0000536861
7.0000000000,0.0001864337
8.0000000000,0.0005592483
9.0000000000,0.0014687156
10.0000000000,0.0034139348
11.0000000000,0.0070876549
12.0000000000,0.0132451291
13.0000000000,0.0224326160
14.0000000000,0.0346451384
15.0000000000,0.0490691308
16.0000000000,0.0640786263
17.0000000000,0.0775570764
18.0000000000,0.0874529543
19.0000000000,0.0923475525
20.0000000000,0.0918037193
21.0000000000,0.0863784044
22.0000000000,0.0773423757
23.0000000000,0.0662617968
24.0000000000,0.0546113262
25.0000000000,0.0435262312
26.0000000000,0.0337161670
27.0000000000,0.0255020709
28.0000000000,0.0189161014
29.0000000000,0.0138133805
30.0000000000,0.0099654007
31.0000000000,0.0071245179
32.0000000000,0.0050612272
33.0000000000,0.0035810930
34.0000000000,0.0025287949
35.0000000000,0.0017852574
36.0000000000,0.0012618653
37.0000000000,0.0008940917
38.0000000000,0.0006356926
39.0000000000,0.0004539037
40.0000000000,0.0003256960
41.0000000000,0.0002349670
42.0000000000,0.0001704903
43.0000000000,0.0001244487
44.0000000000,0.0000913963
45.0000000000,0.0000675338
46.0000000000,0.0000502038
47.0000000000,0.0000375411
48.0000000000,0.0000282316
49.0000000000,0.0000213450
50.0000000000,0.0000162198
51.0000000000,0.0000123825
52.0000000000,0.0000094931
53.0000000000,0.0000073053
54.0000000000,0.0000056401
55.0000000000,0.0000043666
56.0000000000,0.0000033882
57.0000000000,0.0000026336
58.0000000000,0.0000020494
59.0000000000,0.0000015959
60.0000000000,0.0000012428
61.0000000000,0.0000009675
62.0000000000,0.0000007525
63.0000000000,0.0000005844
64.0000000000,0.0000004530
65.0000000000,0.0000003503
66.0000000000,0.0000002701
67.0000000000,0.0000002077
68.0000000000,0.0000001590
69.0000000000,0.0000001213
70.0000000000,0.0000000922
71.0000000000,0.0000000697
72.0000000000,0.0000000524
73.0000000000,0.0000000392
74.0000000000,0.0000000292
75.0000000000,0.0000000216
76.0000000000,0.0000000159
77.0000000000,0.0000000116
78.0000000000,0.0000000085
79.0000000000,0.0000000061
80.0000000000,0.0000000044
81.0000000000,0.0000000031
82.0000000000,0.0000000022
83.0000000000,0.0000000016
84.0000000000,0.0000000011
85.0000000000,0.0000000008
86.0000000000,0.0000000005
87.0000000000,0.0000000004
88.0000000000,0.0000000002
89.0000000000,0.0000000002
90.0000000000,0.0000000001
91.0000000000,0.0000000001
92.0000000000,0.0000000001
93.0000000000,0.0000000000
94.0000000000,0.0000000000
95.0000000000,0.0000000000
96.0000000000,0.0000000000
97.0000000000,0.0000000000
98.0000000000,0.0000000000
99.0000000000,0.0000000000
100.0000000000,0.0000000000
101.0000000000,0.0000000000
102.0000000000,0.0000000000
103.0000000000,0.0000000000
104.0000000000,0.0000000000
105.0000000000,0.0000000000
106.0000000000,0.0000000000
107.0000000000,0.0000000000
108.0000000000,0.0000000000
109.0000000000,0.0000000000
110.0000000000,0.0000000000
111.0000000000,0.0000000000
112.0000000000,0.0000000000
113.0000000000,0.0000000000
114.0000000000,0.0000000000
115.0000000000,0.0000000000
116.0000000000,0.0000000000
117.0000000000,0.0000000000
118.0000000000,0.0000000000
119.0000000000,0.0000000000
120.0000000000,0.0000000000
121.0000000000,0.0000000000
122.0000000000,0.0000000000
123.0000000000,0.0000000000
124.0000000000,0.0000000000
125.0000000000,0.0000000000
126.0000000000,0.0000000000
127.0000000000,0.0000000000
128.0000000000,0.0000000000
129.0000000000,0.0000000000
130.0000000000,0.0000000000
131.0000000000,0.0000000000
132.0000000000,0.0000000000
133.0000000000,0.0000000000
134.0000000000,0.0000000000
135.0000000000,0.0000000000
136.0000000000,0.0000000000
137.0000000000,0.0000000000
138.0000000000,0.0000000000
139.0000000000,0.0000000000
140.0000000000,0.0000000000
141.0000000000,0.0000000000
142.0000000000,0.0000000000
143.0000000000,0.0000000000
144.0000000000,0.0000000000
145.0000000000,0.0000000000
146.0000000000,0.0000000000
147.0000000000,0.0000000000
148.0000000000,0.0000000000
149.0000000000,0.0000000000
