# Generated by QuTiP: 150x2 real matrix in decimal format [',' separated values].
0.0000000000,0.0011589873
1.0000000000,0.0017585718
2.0000000000,0.0025154871
3.0000000000,0.0034016220
4.0000000000,0.0043133045
5.0000000000,0.0051462363
6.0000000000,0.0058046616
7.0000000000,0.0062168884
8.0000000000,0.0063501596
9.0000000000,0.0062145187
10.0000000000,0.0058566748
11.0000000000,0.0053473278
12.0000000000,0.0047661513
13.0000000000,0.0041886034
14.0000000000,0.0036774494
15.0000000000,0.0032800546
16.0000000000,0.0030309804
17.0000000000,0.0029600024
18.0000000000,0.0031133288
19.0000000000,0.0036114988
20.0000000000,0.0047371253
21.0000000000,0.0069108017
22.0000000000,0.0104865310
23.0000000000,0.0155771735
24.0000000000,0.0219862341
25.0000000000,0.0291867556
26.0000000000,0.0364191031
27.0000000000,0.0429170700
28.0000000000,0.0480757192
29.0000000000,0.0515119157
30.0000000000,0.0530753259
31.0000000000,0.0528294076
32.0000000000,0.0510046734
33.0000000000,0.0479342805
34.0000000000,0.0439914512
35.0000000000,0.0395397818
36.0000000000,0.0348990497
37.0000000000,0.0303262002
38.0000000000,0.0260091774
39.0000000000,0.0220702450
40.0000000000,0.0185751842
41.0000000000,0.0155452392
42.0000000000,0.0129694650
43.0000000000,0.0108159396
44.0000000000,0.0090410305
45.0000000000,0.0075964509
46.0000000000,0.0064342110
47.0000000000,0.0055097707
48.0000000000,0.0047837917
49.0000000000,0.0042229022
50.0000000000,0.0037998628
51.0000000000,0.0034934788
52.0000000000,0.0032885032
53.0000000000,0.0031755651
54.0000000000,0.0031508027
55.0000000000,0.0032146034
56.0000000000,0.0033690455
57.0000000000,0.0036143809
58.0000000000,0.0039455743
59.0000000000,0.0043499009
60.0000000000,0.0048061012
61.0000000000,0.0052852035
62.0000000000,0.0057529917
63.0000000000,0.0061738592
64.0000000000,0.0065153006
65.0000000000,0.0067519133
66.0000000000,0.0068679566
67.0000000000,0.0068581300
68.0000000000,0.0067268086
69.0000000000,0.0064862414
70.0000000000,0.0061542312
71.0000000000,0.0057517190
72.0000000000,0.0053005774
73.0000000000,0.0048218072
74.0000000000,0.0043342272
75.0000000000,0.0038536647
76.0000000000,0.0033925926
77.0000000000,0.0029601244
78.0000000000,0.0025622656
79.0000000000,0.0022023249
80.0000000000,0.0018814031
81.0000000000,0.0015988957
82.0000000000,0.0013529649
83.0000000000,0.0011409542
84.0000000000,0.0009597327
85.0000000000,0.0008059658
86.0000000000,0.0006763170
87.0000000000,0.0005675893
88.0000000000,0.0004768158
89.0000000000,0.0004013116
90.0000000000,0.0003386946
91.0000000000,0.0002868857
92.0000000000,0.0002440949
93.0000000000,0.0002087983
94.0000000000,0.0001797108
95.0000000000,0.0001557578
96.0000000000,0.0001360466
97.0000000000,0.0001198399
98.0000000000,0.0001065325
99.0000000000,0.0000956296
100.0000000000,0.0000867281
101.0000000000,0.0000795005
102.0000000000,0.0000736798
103.0000000000,0.0000690469
104.0000000000,0.0000654176
105.0000000000,0.0000626331
106.0000000000,0.0000605506
107.0000000000,0.0000590365
108.0000000000,0.0000579622
109.0000000000,0.0000572019
110.0000000000,0.0000566331
111.0000000000,0.0000561384
112.0000000000,0.0000556092
113.0000000000,0.0000549498
114.0000000000,0.0000540816
115.0000000000,0.0000529466
116.0000000000,0.0000515095
117.0000000000,0.0000497580
118.0000000000,0.0000477013
119.0000000000,0.0000453673
120.0000000000,0.0000427988
121.0000000000,0.0000400482
122.0000000000,0.0000371737
123.0000000000,0.0000342344
124.0000000000,0.0000312873
125.0000000000,0.0000283839
126.0000000000,0.0000255688
127.0000000000,0.0000228786
128.0000000000,0.0000203412
129.0000000000,0.0000179765
130.0000000000,0.0000157967
131.0000000000,0.0000138071
132.0000000000,0.0000120071
133.0000000000,0.0000103918
134.0000000000,0.0000089534
135.0000000000,0.0000076831
136.0000000000,0.0000065760
137.0000000000,0.0000056375
138.0000000000,0.0000048903
139.0000000000,0.0000042917
140.0000000000,0.0000037880
141.0000000000,0.0000033538
142.0000000000,0.0000030423
143.0000000000,0.0000027215
144.0000000000,0.0000024547
145.0000000000,0.0000022486
146.0000000000,0.0000020416
147.0000000000,0.0000018528
148.0000000000,0.0000016910
149.0000000000,0.0000014143
