# Generated by QuTiP: 200x4 real matrix in decimal format [',' separated values].
0.0000000000,9.5083315325,0.9999992574,0.9999999566
0.0007537688,9.6550364870,0.9999599348,0.9999999441
0.0015075377,10.0891453814,0.9993290837,0.9999999010
0.0022613065,10.7893587731,0.9964875334,0.9999998143
0.0030150754,11.7136657406,0.9892216614,0.9999996736
0.0037688442,12.7998056331,0.9760405948,0.9999994779
0.0045226131,13.9744590813,0.9570413331,0.9999992360
0.0052763819,15.1667373526,0.9336786134,0.9999989634
0.0060301508,16.3192479326,0.9079654356,0.9999986770
0.0067839196,17.3930471603,0.8817744287,0.9999983937
0.0075376884,18.3669327726,0.8564936374,0.9999981231
0.0082914573,19.2336067207,0.8329761685,0.9999978729
0.0090452261,19.9950855461,0.8116361343,0.9999976469
0.0097989950,20.6587506020,0.7925835562,0.9999974460
0.0105527638,21.2344910547,0.7757435779,0.9999972699
0.0113065327,21.7328740284,0.7609434015,0.9999971173
0.0120603015,22.1641014660,0.7479691914,0.9999969860
0.0128140704,22.5374879557,0.7365996980,0.9999968739
0.0135678392,22.8612627785,0.7266247380,0.9999967794
0.0143216080,23.1425466288,0.7178533662,0.9999967002
0.0150753769,23.3874269510,0.7101171912,0.9999966346
0.0158291457,23.6010688446,0.7032701304,0.9999965811
0.0165829146,23.7878377233,0.6971867667,0.9999965386
0.0173366834,23.9514168982,0.6917600689,0.9999965054
0.0180904523,24.0949150028,0.6868990345,0.9999964808
0.0188442211,24.2209579917,0.6825263305,0.9999964637
0.0195979899,24.3317690070,0.6785762738,0.9999964535
0.0203517588,24.4292346922,0.6749929876,0.9999964491
0.0211055276,24.5149607512,0.6717288652,0.9999964503
0.0218592965,24.5903179593,0.6687432446,0.9999964563
0.0226130653,24.6564806790,0.6660013168,0.9999964670
0.0233668342,24.7144580181,0.6634731895,0.9999964814
0.0241206030,24.7651202247,0.6611331290,0.9999964994
0.0248743719,24.8092203134,0.6589589115,0.9999965206
0.0256281407,24.8474120052,0.6569312894,0.9999965447
0.0263819095,24.8802647493,0.6550335428,0.9999965716
0.0271356784,24.9082761706,0.6532511083,0.9999966009
0.0278894472,24.9318825435,0.6515712645,0.9999966323
0.0286432161,24.9514675469,0.6499828696,0.9999966657
0.0293969849,24.9673696434,0.6484761402,0.9999967009
0.0301507538,24.9798883307,0.6470424647,0.9999967376
0.0309045226,24.9892893532,0.6456742447,0.9999967758
0.0316582915,24.9958092130,0.6443647618,0.9999968152
0.0324120603,24.9996590305,0.6431080643,0.9999968557
0.0331658291,25.0010277366,0.6418988685,0.9999968972
0.0339195980,25.0000848667,0.6407324762,0.9999969395
0.0346733668,24.9969829992,0.6396047039,0.9999969824
0.0354271357,24.9918597947,0.6385118210,0.9999970258
0.0361809045,24.9848397914,0.6374504974,0.9999970697
0.0369346734,24.9760359436,0.6364177575,0.9999971138
0.0376884422,24.9655509761,0.6354109414,0.9999971581
0.0384422111,24.9534785593,0.6344276703,0.9999972024
0.0391959799,24.9399043013,0.6334658166,0.9999972466
0.0399497487,24.9249066920,0.6325234789,0.9999972907
0.0407035176,24.9085578475,0.6315989585,0.9999973344
0.0414572864,24.8909242053,0.6306907395,0.9999973777
0.0422110553,24.8720671615,0.6297974731,0.9999974205
0.0429648241,24.8520435789,0.6289179608,0.9999974627
0.0437185930,24.8309062803,0.6280511425,0.9999975041
0.0444723618,24.8087044589,0.6271960835,0.9999975446
0.0452261307,24.7854840710,0.6263519660,0.9999975842
0.0459798995,24.7612881601,0.6255180790,0.9999976226
0.0467336683,24.7361571561,0.6246938104,0.9999976599
0.0474874372,24.7101291526,0.6238786413,0.9999976958
0.0482412060,24.6832401406,0.6230721385,0.9999977304
0.0489949749,24.6555242282,0.6222739504,0.9999977633
0.0497487437,24.6270138380,0.6214838019,0.9999977947
0.0505025126,24.5977398707,0.6207014900,0.9999978243
0.0512562814,24.5677318947,0.6199268816,0.9999978520
0.0520100503,24.5370182576,0.6191599092,0.9999978778
0.0527638191,24.5056262358,0.6184005687,0.9999979015
0.0535175879,24.4735821546,0.6176489178,0.9999979229
0.0542713568,24.4409114903,0.6169050732,0.9999979421
0.0550251256,24.4076389757,0.6161692098,0.9999979589
0.0557788945,24.3737887020,0.6154415589,0.9999979732
0.0565326633,24.3393841668,0.6147224093,0.9999979850
0.0572864322,24.3044484549,0.6140121092,0.9999979944
0.0580402010,24.2690041132,0.6133110220,0.9999979999
0.0587939698,24.2330734215,0.6126196331,0.9999980032
0.0595477387,24.1966783535,0.6119384317,0.9999980036
0.0603015075,24.1598406490,0.6112679728,0.9999980009
0.0610552764,24.1225818693,0.6106088639,0.9999979952
0.0618090452,24.0849234465,0.6099617652,0.9999979863
0.0625628141,24.0468867295,0.6093273894,0.9999979743
0.0633165829,24.0084930270,0.6087065015,0.9999979591
0.0640703518,23.9697636469,0.6080999192,0.9999979406
0.0648241206,23.9307199337,0.6075085126,0.9999979190
0.0655778894,23.8913833030,0.6069332042,0.9999978942
0.0663316583,23.8517752736,0.6063749690,0.9999978662
0.0670854271,23.8119174969,0.6058348338,0.9999978351
0.0678391960,23.7718317845,0.6053138779,0.9999978009
0.0685929648,23.7315401339,0.6048132319,0.9999977638
0.0693467337,23.6910647508,0.6043340774,0.9999977237
0.0701005025,23.6504280707,0.6038776470,0.9999976808
0.0708542714,23.6096527779,0.6034452228,0.9999976352
0.0716080402,23.5687618219,0.6030381357,0.9999975870
0.0723618090,23.5277784331,0.6026577646,0.9999975364
0.0731155779,23.4867261345,0.6023055346,0.9999974835
