# ###########
# [default parameters]
#   dict([('NL', '15'), ('NR', '15'), ('GNL', '1e-4'), ('GNR', '1e-4'), ('GS', '1.'), ('wL', '5.'), ('wR', '3.'), ('lambdaL', '0.05'), ('lambdaR', '0.05'), ('QL', '1e5'), ('QR', '1e5'), ('TOscL', '5.'), ('TOscR', '5.'), ('TelL', '0.'), ('TelR', '0.'), ('muL', '-1e3'), ('muR', '-1e3'), ('ham', 'chargevib')])
# [assignments]
#   dict([('eLu', 'x'), ('eLd', 'x'), ('eRu', 'x'), ('eRd', 'x')])
# [variables]
#   ['x']
# [columns]
#   ['x', 'IL', 'IR', 'IphL', 'IphR', 'nOscL', 'nOscR', 'nElL', 'nElR', 'dotEOscL', 'dotEOscR', 'dotEelL', 'dotEelR', 'eta', 'commL', 'commR']
# ###########
# 
-3.952000e+00 1.566673e-06 1.566673e-06 1.469758e-08 1.597416e-08 5.822636e-01 1.215030e+00 1.566673e-02 1.566673e-02 7.327781e-08 4.707873e-08 -5.988469e-08 -6.047185e-08 -8.361376e-06 9.999921e-01 9.984705e-01
-3.949714e+00 1.573489e-06 1.573489e-06 1.984228e-08 2.142921e-08 5.823655e-01 1.215200e+00 1.573489e-02 1.573489e-02 9.878049e-08 6.273307e-08 -8.046088e-08 -8.105268e-08 -1.145462e-05 9.999920e-01 9.984668e-01
-3.947429e+00 1.583938e-06 1.583938e-06 2.922562e-08 3.024246e-08 5.825513e-01 1.215458e+00 1.583938e-02 1.583938e-02 1.452431e-07 8.691127e-08 -1.157784e-07 -1.163759e-07 -1.841354e-05 9.999920e-01 9.984584e-01
-3.945143e+00 1.603400e-06 1.603400e-06 4.856713e-08 5.104436e-08 5.829335e-01 1.215953e+00 1.603400e-02 1.603400e-02 2.408358e-07 1.351630e-07 -1.876988e-07 -1.883000e-07 -3.295274e-05 9.999919e-01 9.984247e-01
-3.942857e+00 1.678287e-06 1.678287e-06 1.439834e-07 2.267367e-07 5.848207e-01 1.216628e+00 1.678287e-02 1.678287e-02 7.127424e-07 2.578409e-07 -4.850460e-07 -4.855373e-07 -1.355255e-04 9.999913e-01 9.978593e-01
-3.940571e+00 1.754718e-06 1.754718e-06 2.130114e-07 1.728945e-07 5.861422e-01 1.220187e+00 1.754718e-02 1.754718e-02 1.043856e-06 5.329055e-07 -7.880450e-07 -7.887168e-07 -1.455934e-04 9.999869e-01 9.982731e-01
-3.938286e+00 2.399528e-06 2.399528e-06 8.752023e-07 9.277229e-07 5.987508e-01 1.243029e+00 2.399528e-02 2.399528e-02 4.196085e-06 2.606291e-06 -3.400633e-06 -3.401743e-06 -3.312722e-04 9.999872e-01 9.981126e-01
-3.936000e+00 2.321193e-05 2.321193e-05 1.824969e-05 1.724977e-05 1.012956e+00 1.962390e+00 2.321193e-01 2.321193e-01 1.077500e-04 6.825015e-05 -8.799282e-05 -8.800730e-05 -8.508513e-04 9.999121e-01 9.898198e-01
-3.933714e+00 2.058324e-06 2.058324e-06 4.692384e-07 4.982640e-07 5.916875e-01 1.231829e+00 2.058324e-02 2.058324e-02 2.428783e-06 1.577778e-06 -2.002825e-06 -2.003737e-06 -2.067228e-04 9.999909e-01 9.982947e-01
-3.931429e+00 1.708118e-06 1.708118e-06 1.366841e-07 1.451420e-07 5.847552e-01 1.219441e+00 1.708118e-02 1.708118e-02 6.958824e-07 4.479876e-07 -5.715915e-07 -5.722785e-07 -7.256370e-05 9.999918e-01 9.984326e-01
