# ###########
# [default parameters]
#   dict([('NL', '15'), ('NR', '15'), ('GNL', '1e-4'), ('GNR', '1e-4'), ('GS', '1.'), ('wL', '5.'), ('wR', '3.'), ('lambdaL', '0.2'), ('lambdaR', '0.2'), ('QL', '1e5'), ('QR', '1e5'), ('TOscL', '5.'), ('TOscR', '5.'), ('TelL', '0.'), ('TelR', '0.'), ('muL', '-1e3'), ('muR', '-1e3'), ('ham', 'chargevib')])
# [assignments]
#   dict([('eLu', 'x'), ('eLd', 'x'), ('eRu', 'x'), ('eRd', 'x')])
# [variables]
#   ['x']
# [columns]
#   ['x', 'IL', 'IR', 'IphL', 'IphR', 'nOscL', 'nOscR', 'nElL', 'nElR', 'dotEOscL', 'dotEOscR', 'dotEelL', 'dotEelR', 'eta', 'commL', 'commR']
# ###########
# 
-4.000000e+00 1.712058e-06 1.712058e-06 1.897197e-07 1.700136e-07 5.856876e-01 1.220288e+00 1.712058e-02 1.712058e-02 9.369983e-07 5.552266e-07 -7.422002e-07 -7.500248e-07 -1.114950e-04 9.999891e-01 9.981812e-01
-3.997714e+00 1.721723e-06 1.721723e-06 1.996248e-07 1.798331e-07 5.858777e-01 1.220532e+00 1.721723e-02 1.721723e-02 9.847383e-07 5.711814e-07 -7.739312e-07 -7.819884e-07 -1.200997e-04 9.999884e-01 9.982364e-01
-3.995429e+00 1.732783e-06 1.732783e-06 2.085163e-07 1.942147e-07 5.860465e-01 1.220908e+00 1.732783e-02 1.732783e-02 1.027146e-06 6.038172e-07 -8.113441e-07 -8.196191e-07 -1.221529e-04 9.999877e-01 9.982478e-01
-3.993143e+00 1.745220e-06 1.745220e-06 2.176676e-07 2.113690e-07 5.862192e-01 1.221384e+00 1.745220e-02 1.745220e-02 1.070543e-06 6.466344e-07 -8.543442e-07 -8.628333e-07 -1.214485e-04 9.999869e-01 9.982486e-01
-3.990857e+00 1.759074e-06 1.759074e-06 2.286822e-07 2.289707e-07 5.864278e-01 1.221913e+00 1.759074e-02 1.759074e-02 1.122990e-06 6.918868e-07 -9.030835e-07 -9.117928e-07 -1.225368e-04 9.999858e-01 9.982711e-01
-3.988571e+00 1.774557e-06 1.774557e-06 2.395796e-07 2.508508e-07 5.866344e-01 1.222560e+00 1.774557e-02 1.774557e-02 1.174902e-06 7.508715e-07 -9.584200e-07 -9.673534e-07 -1.194750e-04 9.999847e-01 9.982648e-01
-3.986286e+00 1.791798e-06 1.791798e-06 2.573358e-07 2.656894e-07 5.869807e-01 1.222992e+00 1.791798e-02 1.791798e-02 1.261746e-06 7.891770e-07 -1.020875e-06 -1.030049e-06 -1.318701e-04 9.999837e-01 9.982702e-01
-3.984000e+00 1.811046e-06 1.811046e-06 2.715604e-07 2.914625e-07 5.872601e-01 1.223791e+00 1.811046e-02 1.811046e-02 1.331814e-06 8.605012e-07 -1.091446e-06 -1.100869e-06 -1.301216e-04 9.999832e-01 9.982757e-01
-3.981714e+00 1.832581e-06 1.832581e-06 2.946621e-07 3.087609e-07 5.877158e-01 1.224303e+00 1.832581e-02 1.832581e-02 1.445861e-06 9.063834e-07 -1.171274e-06 -1.180970e-06 -1.471905e-04 9.999833e-01 9.982782e-01
-3.979429e+00 1.856810e-06 1.856810e-06 3.163900e-07 3.362938e-07 5.881372e-01 1.225136e+00 1.856810e-02 1.856810e-02 1.551268e-06 9.827332e-07 -1.262007e-06 -1.271994e-06 -1.530945e-04 9.999839e-01 9.982661e-01
-3.977143e+00 1.884200e-06 1.884200e-06 3.358341e-07 3.769293e-07 5.885060e-01 1.226412e+00 1.884200e-02 1.884200e-02 1.643514e-06 1.097856e-06 -1.365535e-06 -1.375835e-06 -1.447983e-04 9.999846e-01 9.982639e-01
-3.974857e+00 1.915342e-06 1.915342e-06 3.695663e-07 4.046028e-07 5.891550e-01 1.227234e+00 1.915342e-02 1.915342e-02 1.805816e-06 1.173362e-06 -1.484258e-06 -1.494920e-06 -1.651020e-04 9.999854e-01 9.982509e-01
-3.972571e+00 1.950962e-06 1.950962e-06 4.035098e-07 4.448319e-07 5.898029e-01 1.228480e+00 1.950962e-02 1.950962e-02 1.967846e-06 1.285450e-06 -1.621117e-06 -1.632179e-06 -1.748871e-04 9.999860e-01 9.982515e-01
-3.970286e+00 1.992048e-06 1.992048e-06 4.363611e-07 5.026454e-07 5.904225e-01 1.230265e+00 1.992048e-02 1.992048e-02 2.122861e-06 1.448898e-06 -1.780125e-06 -1.791634e-06 -1.691633e-04 9.999865e-01 9.982267e-01
-3.968000e+00 2.039662e-06 2.039662e-06 4.916407e-07 5.420485e-07 5.914828e-01 1.231439e+00 2.039662e-02 2.039662e-02 2.388043e-06 1.555167e-06 -1.965584e-06 -1.977626e-06 -2.041700e-04 9.999870e-01 9.982217e-01
-3.965714e+00 2.095371e-06 2.095371e-06 5.509545e-07 5.983261e-07 5.926133e-01 1.233124e+00 2.095371e-02 2.095371e-02 2.670830e-06 1.709542e-06 -2.183860e-06 -2.196512e-06 -2.293836e-04 9.999872e-01 9.981965e-01
-3.963429e+00 2.161242e-06 2.161242e-06 6.077153e-07 6.886338e-07 5.936791e-01 1.235900e+00 2.161242e-02 2.161242e-02 2.937420e-06 1.962618e-06 -2.443344e-06 -2.456694e-06 -2.255189e-04 9.999873e-01 9.981680e-01
-3.961143e+00 2.239814e-06 2.239814e-06 6.932466e-07 7.684432e-07 5.953017e-01 1.238288e+00 2.239814e-02 2.239814e-02 3.343273e-06 2.179599e-06 -2.754337e-06 -2.768535e-06 -2.597701e-04 9.999873e-01 9.981492e-01
-3.958857e+00 2.334659e-06 2.334659e-06 7.966806e-07 8.666483e-07 5.972574e-01 1.241210e+00 2.334659e-02 2.334659e-02 3.832381e-06 2.445526e-06 -3.131346e-06 -3.146561e-06 -2.970145e-04 9.999873e-01 9.981218e-01
-3.956571e+00 2.450952e-06 2.450952e-06 8.920989e-07 1.042100e-06 5.990179e-01 1.246585e+00 2.450952e-02 2.450952e-02 4.272691e-06 2.934507e-06 -3.595391e-06 -3.611807e-06 -2.729927e-04 9.999873e-01 9.980740e-01
-3.954286e+00 2.595050e-06 2.595050e-06 1.052737e-06 1.192403e-06 6.020336e-01 1.250978e+00 2.595050e-02 2.595050e-02 5.026824e-06 3.335710e-06 -4.172293e-06 -4.190241e-06 -3.258346e-04 9.999869e-01 9.980203e-01
-3.952000e+00 2.777280e-06 2.777280e-06 1.245989e-06 1.403621e-06 6.056301e-01 1.257178e+00 2.777280e-02 2.777280e-02 5.926120e-06 3.901756e-06 -4.904008e-06 -4.923869e-06 -3.644509e-04 9.999866e-01 9.979450e-01
-3.949714e+00 3.012078e-06 3.012078e-06 1.490089e-06 1.690417e-06 6.101369e-01 1.265578e+00 3.012078e-02 3.012078e-02 7.052940e-06 4.667766e-06 -5.849196e-06 -5.871510e-06 -3.959350e-04 9.999860e-01 9.978517e-01
-3.947429e+00 3.322433e-06 3.322433e-06 1.798059e-06 2.103216e-06 6.157559e-01 1.277709e+00 3.322433e-02 3.322433e-02 8.457725e-06 5.770362e-06 -7.101283e-06 -7.126804e-06 -4.044270e-04 9.999853e-01 9.977494e-01
-3.945143e+00 3.743017e-06 3.743017e-06 2.282865e-06 2.564400e-06 6.246475e-01 1.290597e+00 3.743017e-02 3.743017e-02 1.068052e-05 6.951843e-06 -8.801212e-06 -8.831146e-06 -4.980840e-04 9.999842e-01 9.975465e-01
-3.942857e+00 4.333723e-06 4.333723e-06 2.883388e-06 3.368521e-06 6.354087e-01 1.313662e+00 4.333723e-02 4.333723e-02 1.337042e-05 9.050584e-06 -1.119249e-05 -1.122851e-05 -4.983974e-04 9.999825e-01 9.973281e-01
-3.940571e+00 5.197861e-06 5.197861e-06 3.783874e-06 4.546355e-06 6.513812e-01 1.346858e+00 5.197861e-02 5.197861e-02 1.736258e-05 1.207277e-05 -1.469523e-05 -1.474013e-05 -5.088448e-04 9.999802e-01 9.969968e-01
-3.938286e+00 6.521145e-06 6.521145e-06 5.317589e-06 6.162309e-06 6.785390e-01 1.390257e+00 6.521145e-02 6.521145e-02 2.415002e-05 1.603825e-05 -2.006481e-05 -2.012346e-05 -6.219591e-04 9.999762e-01 9.964244e-01
-3.936000e+00 8.683265e-06 8.683265e-06 7.823536e-06 8.938048e-06 7.221338e-01 1.464008e+00 8.683265e-02 8.683265e-02 3.504443e-05 2.272850e-05 -2.884589e-05 -2.892704e-05 -7.091760e-04 9.999700e-01 9.958910e-01
-3.933714e+00 1.249663e-05 1.249663e-05 1.204610e-05 1.443152e-05 7.935140e-01 1.608620e+00 1.249663e-01 1.249663e-01 5.288009e-05 3.592953e-05 -4.434467e-05 -4.446495e-05 -6.782054e-04 9.999589e-01 9.940943e-01
-3.931429e+00 1.968546e-05 1.968546e-05 2.020337e-05 2.496182e-05 9.290927e-01 1.879518e+00 1.968546e-01 1.968546e-01 8.675339e-05 6.060280e-05 -7.358109e-05 -7.377510e-05 -6.642109e-04 9.999372e-01 9.912167e-01
-3.929143e+00 3.306525e-05 3.306525e-05 3.615866e-05 4.315439e-05 1.197774e+00 2.338255e+00 3.306525e-01 3.306525e-01 1.538772e-04 1.025164e-04 -1.280309e-04 -1.283627e-04 -7.766595e-04 9.998820e-01 9.850504e-01
