################
# [default parameters]
# 	{'NL': 40, 'NR': 2, 'GNL': 1e-3, 'GNR': 1e-3, 'GS': 1., 'wL': 1., 'wR': 1., 'lambdaL': 0.02, 'lambdaR': 0., 'QL': 1e5, 'QR': 1e5, 'TL': 5., 'TR': 0., 'muL': -1e3, 'muR': -1e3}
# [assignments]
# 	{'eLu': '_eps_', 'eLd': '_eps_', 'eRu': '_eps_', 'eRd': '_eps_', 'eps':'0.5*sqrt(_w_**2-2*_GS_**2)'}
# [variables]
#	[GS]
# [model version]
#	vMattiaChargevib_07_02_2019_01??
# [format]
#	['GS', 'IL', 'IR', 'nOscL', 'nOscR', 'ComBoseL', 'ComBoseR']
################
0.000000000000000000e+00	1.549897381762966862e-106	0.000000000000000000e+00	4.442108216421658540e+00	-1.135455450268578054e-01	9.834950111617076773e-01	1.227091090053715972e+00
2.828427124746190052e-03	2.883294899845550020e-05	2.883294899845550020e-05	1.633907672597520788e+00	4.999999999767072434e-01	9.999451868041541180e-01	4.658446764493151014e-11
5.656854249492380103e-03	3.918592722619131997e-05	3.918592722619131997e-05	6.011622739167048479e-01	5.000000000138588030e-01	9.999998373835486953e-01	-2.771839502093027367e-11
8.485281374238569721e-03	4.215894346104642130e-05	4.215894346104641453e-05	3.076879804931682560e-01	4.999999999623477853e-01	9.999999940140947841e-01	7.530373300319033624e-11
1.131370849898476021e-02	4.336701686312591301e-05	4.336701686312591301e-05	1.922349273852050899e-01	4.999999999636566272e-01	9.999999991345189798e-01	7.268743499592640272e-11
1.414213562373095069e-02	4.399631492514815103e-05	4.399631492514815781e-05	1.361882233852082513e-01	4.999999999398314077e-01	9.999999997437668542e-01	1.203374507002175226e-10
1.697056274847713944e-02	4.439224506365466291e-05	4.439224506365466969e-05	1.050074791922173817e-01	4.999999999749880630e-01	9.999999998865333195e-01	5.002379306995724708e-11
1.979898987322332993e-02	4.468222246288041630e-05	4.468222246288040275e-05	8.595128812847846467e-02	4.999999999812712592e-01	9.999999999359501235e-01	3.745733843304927183e-11
2.262741699796952041e-02	4.492162412570886373e-05	4.492162412570885696e-05	7.348198404801979666e-02	4.999999999476992807e-01	9.999999999577707799e-01	1.046015902218907272e-10
2.545584412271571090e-02	4.513754556285563894e-05	4.513754556285565927e-05	6.489001782307260435e-02	4.999999999464908029e-01	9.999999999691033814e-01	1.070191262499218513e-10
2.828427124746190138e-02	4.534448166559458071e-05	4.534448166559458749e-05	5.872588607834340613e-02	4.999999999761925995e-01	9.999999999756877811e-01	4.761529407346061475e-11
3.111269837220809187e-02	4.555074461464280166e-05	4.555074461464281521e-05	5.415834681532001593e-02	4.999999999724432653e-01	9.999999999798427908e-01	5.511358334784514909e-11
3.394112549695427888e-02	4.576137371956957753e-05	4.576137371956957075e-05	5.068343841517060355e-02	4.999999999870985423e-01	9.999999999826277852e-01	2.580332407815054141e-11
3.676955262170047284e-02	4.597956632581208682e-05	4.597956632581208682e-05	4.798139037726351780e-02	4.999999999722905542e-01	9.999999999845848864e-01	5.541939094820106305e-11
3.959797974644665985e-02	4.620742946144234685e-05	4.620742946144236040e-05	4.584145939695392913e-02	4.999999999953356755e-01	9.999999999860105238e-01	9.328622331948916950e-12
4.242640687119285381e-02	4.644639686912206770e-05	4.644639686912206770e-05	4.412022658202800068e-02	4.999999999851975074e-01	9.999999999870777811e-01	2.960528969156119385e-11
4.525483399593904082e-02	4.669747129675538291e-05	4.669747129675539646e-05	4.271736862433727494e-02	4.999999999931158401e-01	9.999999999878953494e-01	1.376843632165962592e-11
4.808326112068522784e-02	4.696137091586649555e-05	4.696137091586650232e-05	4.156101610045873779e-02	4.999999999904378156e-01	9.999999999885319513e-01	1.912495266273784344e-11
5.091168824543142180e-02	4.723862086447724526e-05	4.723862086447721815e-05	4.059859926696503946e-02	5.000000000017621460e-01	9.999999999890331059e-01	-3.524069854595796765e-12
5.374011537017760881e-02	4.752961220556797697e-05	4.752961220556795665e-05	3.979095226291771981e-02	4.999999999889494506e-01	9.999999999894342295e-01	2.210096114370793821e-11
5.656854249492380277e-02	4.783464090516582857e-05	4.783464090516584890e-05	3.910841532853667757e-02	4.999999999910355042e-01	9.999999999897565273e-01	1.793074583079736936e-11
5.939696961966998978e-02	4.815393420605070473e-05	4.815393420605069117e-05	3.852819744997246915e-02	4.999999999938072870e-01	9.999999999900113234e-01	1.238532045026982591e-11
6.222539674441618374e-02	4.848766884653665278e-05	4.848766884653663923e-05	3.803255448606157607e-02	4.999999999947651874e-01	9.999999999902182690e-01	1.046993303533803355e-11
6.505382386916237769e-02	4.883598388269402179e-05	4.883598388269402179e-05	3.760750694648540976e-02	4.999999999911310389e-01	9.999999999903851355e-01	1.773849918767859663e-11
6.788225099390855777e-02	4.919898986562590081e-05	4.919898986562592792e-05	3.724192225907883153e-02	4.999999999927437488e-01	9.999999999905168080e-01	1.451261320136452623e-11
7.071067811865475172e-02	4.957677551116420499e-05	4.957677551116420499e-05	3.692684779127884676e-02	4.999999999895433644e-01	9.999999999906162840e-01	2.091292492735656297e-11
7.353910524340094568e-02	4.996941261534836455e-05	4.996941261534837132e-05	3.665501929315505281e-02	4.999999999787578253e-01	9.999999999906913351e-01	4.248545984760563011e-11
7.636753236814712575e-02	5.037695972351069853e-05	5.037695972351068498e-05	3.642049397567581615e-02	4.999999999951427188e-01	9.999999999907444037e-01	9.713189153495851514e-12
7.919595949289331971e-02	5.079946490139509009e-05	5.079946490139507654e-05	3.621837338335054390e-02	5.000000000115680798e-01	9.999999999907790427e-01	-2.313616915530608643e-11
