# ###########
# [default parameters]
#   dict([('NL', '20'), ('NR', '25'), ('GNL', '1e-4'), ('GNR', '1e-4'), ('GS', '1.'), ('wL', '5.'), ('wR', '3.'), ('lambdaL', '0.05'), ('lambdaR', '0.05'), ('QL', '1e5'), ('QR', '1e5'), ('TOscL', '5.'), ('TOscR', '5.'), ('TelL', '5.'), ('TelR', '5.'), ('muL', '-1e3'), ('muR', '-1e3'), ('ham', 'chargevib')])
# [assignments]
#   dict([('eLu', 'x'), ('eLd', 'x'), ('eRu', 'x'), ('eRd', 'x')])
# [variables]
#   ['x']
# [columns]
#   ['x', 'IL', 'IR', 'nOscL', 'nOscR', 'dotEOscL', 'dotEOscR', 'dotEelL', 'dotEelR', 'eta_L', 'eta_R', 'eta_NL', 'commL', 'commR']
# ###########
# 
7.062880e-01 2.515503e-05 2.515503e-05 5.796085e-01 1.218901e+00 -5.964402e-07 2.295029e-07 1.715950e-07 1.953423e-07 -4.742114e-03 3.041180e-03 -0.014775354 9.999999e-01 9.999937e-01
7.063000e-01 2.515550e-05 2.515550e-05 5.794197e-01 1.219397e+00 -6.436407e-07 2.741531e-07 1.728637e-07 1.966239e-07 -5.117296e-03 3.632779e-03 -0.016418169 9.999999e-01 9.999937e-01
7.063120e-01 2.515599e-05 2.515599e-05 5.794049e-01 1.219410e+00 -6.473412e-07 2.752553e-07 1.741635e-07 1.979224e-07 -5.146616e-03 3.647313e-03 -0.016503759 9.999999e-01 9.999937e-01
7.063240e-01 2.515650e-05 2.515650e-05 5.793813e-01 1.219446e+00 -6.532357e-07 2.785114e-07 1.754830e-07 1.992413e-07 -5.193375e-03 3.690383e-03 -0.016667109 9.999999e-01 9.999937e-01
7.063360e-01 2.515704e-05 2.515704e-05 5.795414e-01 1.218971e+00 -6.132016e-07 2.357889e-07 1.768350e-07 2.005777e-07 -4.874991e-03 3.124227e-03 -0.015186438 9.999999e-01 9.999937e-01
7.063480e-01 2.515756e-05 2.515756e-05 5.793260e-01 1.219539e+00 -6.670631e-07 2.869366e-07 1.781845e-07 2.019420e-07 -5.303082e-03 3.801861e-03 -0.01706445 9.999999e-01 9.999937e-01
7.063600e-01 2.515811e-05 2.515811e-05 5.792884e-01 1.219613e+00 -6.764636e-07 2.935723e-07 1.795667e-07 2.033246e-07 -5.377697e-03 3.889697e-03 -0.017350911 9.999999e-01 9.999937e-01
7.063720e-01 2.515868e-05 2.515868e-05 5.792657e-01 1.219645e+00 -6.821257e-07 2.964235e-07 1.809726e-07 2.047296e-07 -5.422587e-03 3.927385e-03 -0.017502795 9.999999e-01 9.999937e-01
7.063840e-01 2.515927e-05 2.515927e-05 5.792248e-01 1.219727e+00 -6.923557e-07 3.037990e-07 1.823996e-07 2.061571e-07 -5.503783e-03 4.025011e-03 -0.017817282 9.999999e-01 9.999937e-01
7.063960e-01 2.515987e-05 2.515987e-05 5.792101e-01 1.219736e+00 -6.960471e-07 3.045872e-07 1.838520e-07 2.076079e-07 -5.532995e-03 4.035358e-03 -0.017896968 9.999999e-01 9.999937e-01
7.064080e-01 2.516049e-05 2.516049e-05 5.791851e-01 1.219772e+00 -7.022957e-07 3.078850e-07 1.853278e-07 2.090828e-07 -5.582529e-03 4.078949e-03 -0.018067275 9.999999e-01 9.999937e-01
7.064200e-01 2.516112e-05 2.516112e-05 5.791436e-01 1.219854e+00 -7.126505e-07 3.152428e-07 1.868261e-07 2.105815e-07 -5.664696e-03 4.176322e-03 -0.018383598 9.999999e-01 9.999937e-01
7.064320e-01 2.516179e-05 2.516179e-05 5.792839e-01 1.219430e+00 -6.775874e-07 2.771187e-07 1.883638e-07 2.121049e-07 -5.385845e-03 3.671158e-03 -0.017074215 9.999999e-01 9.999937e-01
7.064440e-01 2.516246e-05 2.516246e-05 5.792780e-01 1.219412e+00 -6.790714e-07 2.754991e-07 1.899169e-07 2.136554e-07 -5.397496e-03 3.649604e-03 -0.017071335 9.999999e-01 9.999937e-01
7.064560e-01 2.516315e-05 2.516315e-05 5.792266e-01 1.219520e+00 -6.919164e-07 2.851939e-07 1.914915e-07 2.152310e-07 -5.499442e-03 3.777931e-03 -0.01747395 9.999999e-01 9.999937e-01
7.064680e-01 2.516385e-05 2.516385e-05 5.791561e-01 1.219680e+00 -7.095418e-07 2.996218e-07 1.930890e-07 2.168310e-07 -5.639374e-03 3.968944e-03 -0.018046665 9.999999e-01 9.999937e-01
7.064800e-01 2.516457e-05 2.516457e-05 5.789859e-01 1.220117e+00 -7.520905e-07 3.389225e-07 1.947078e-07 2.184603e-07 -5.977376e-03 4.489414e-03 -0.019509804 9.999999e-01 9.999937e-01
7.064920e-01 2.516532e-05 2.516532e-05 5.789532e-01 1.220171e+00 -7.602558e-07 3.437731e-07 1.963654e-07 2.201173e-07 -6.042092e-03 4.553531e-03 -0.019741977 9.999999e-01 9.999937e-01
7.065040e-01 2.516608e-05 2.516608e-05 5.789226e-01 1.220218e+00 -7.679069e-07 3.480523e-07 1.980518e-07 2.218028e-07 -6.102713e-03 4.610072e-03 -0.019954701 9.999999e-01 9.999937e-01
7.065160e-01 2.516687e-05 2.516687e-05 5.788978e-01 1.220249e+00 -7.741214e-07 3.508360e-07 1.997680e-07 2.235175e-07 -6.151908e-03 4.646796e-03 -0.020114964 9.999999e-01 9.999937e-01
7.065280e-01 2.516768e-05 2.516768e-05 5.788602e-01 1.220315e+00 -7.835112e-07 3.567359e-07 2.015132e-07 2.252622e-07 -6.226328e-03 4.724788e-03 -0.0203877 9.999999e-01 9.999937e-01
7.065400e-01 2.516852e-05 2.516852e-05 5.788470e-01 1.220312e+00 -7.868016e-07 3.564723e-07 2.032914e-07 2.270379e-07 -6.252269e-03 4.721140e-03 -0.020441142 9.999999e-01 9.999937e-01
7.065520e-01 2.516937e-05 2.516937e-05 5.787782e-01 1.220463e+00 -8.040005e-07 3.700617e-07 2.050952e-07 2.288436e-07 -6.388723e-03 4.900955e-03 -0.020990916 9.999999e-01 9.999937e-01
7.065640e-01 2.517024e-05 2.517024e-05 5.787626e-01 1.220466e+00 -8.079072e-07 3.702865e-07 2.069374e-07 2.306833e-07 -6.419543e-03 4.903760e-03 -0.02106405 9.999999e-01 9.999937e-01
7.065760e-01 2.517115e-05 2.517115e-05 5.788384e-01 1.220213e+00 -7.889641e-07 3.475866e-07 2.088207e-07 2.325567e-07 -6.268796e-03 4.602976e-03 -0.020318805 9.999999e-01 9.999937e-01
7.065880e-01 2.517207e-05 2.517207e-05 5.786863e-01 1.220594e+00 -8.269846e-07 3.818078e-07 2.107162e-07 2.344606e-07 -6.570653e-03 5.055972e-03 -0.021609531 9.999999e-01 9.999937e-01
7.066000e-01 2.517301e-05 2.517301e-05 5.786435e-01 1.220669e+00 -8.376900e-07 3.886330e-07 2.126566e-07 2.364004e-07 -6.655461e-03 5.146159e-03 -0.021922101 9.999999e-01 9.999937e-01
7.066120e-01 2.517399e-05 2.517399e-05 5.786189e-01 1.220694e+00 -8.438337e-07 3.908214e-07 2.146353e-07 2.383770e-07 -6.704013e-03 5.174937e-03 -0.022070196 9.999999e-01 9.999937e-01
7.066240e-01 2.517499e-05 2.517499e-05 5.785701e-01 1.220785e+00 -8.560303e-07 3.989946e-07 2.166470e-07 2.403886e-07 -6.800642e-03 5.282951e-03 -0.022433427 9.999999e-01 9.999937e-01
