# ###########
# [default parameters]
#   dict([('NL', '40'), ('NR', '2'), ('GNL', '1e-4'), ('GNR', '1e-4'), ('GS', '1.'), ('wL', '5.'), ('wR', '5.'), ('lambdaL', '0.05'), ('lambdaR', '0.'), ('QL', '1e5'), ('QR', '1e5'), ('TOscL', '5.'), ('TOscR', '5.'), ('TelL', '5.'), ('TelR', '5.'), ('muL', '-1e3'), ('muR', '-1e3'), ('ham', 'chargevib')])
# [assignments]
#   dict([('eLu', 'x'), ('eLd', 'x'), ('eRu', 'x'), ('eRd', 'x')])
# [variables]
#   ['x']
# [columns]
#   ['x', 'IL', 'IR', 'nOscL', 'nOscR', 'dotEOscL', 'dotEOscR', 'dotEelL', 'dotEelR', 'eta_L', 'eta_R', 'commL', 'commR']
# ###########
# 
2.036400e+00 5.395599e-06 5.395599e-06 5.816281e-01 2.689414e-01 -8.572736e-08 2.677703e-13 4.570836e-08 4.001873e-08 -3.177677e-03 9.925509e-09 1.000000e+00 4.621172e-01
2.037800e+00 5.389114e-06 5.389114e-06 5.816256e-01 2.689414e-01 -8.633989e-08 1.164518e-14 4.603247e-08 4.030741e-08 -3.204233e-03 4.321743e-10 1.000000e+00 4.621172e-01
2.039200e+00 5.382643e-06 5.382643e-06 5.816231e-01 2.689414e-01 -8.695964e-08 1.102771e-14 4.636018e-08 4.059945e-08 -3.231113e-03 4.097508e-10 1.000000e+00 4.621172e-01
2.040600e+00 5.376184e-06 5.376184e-06 5.816206e-01 2.689414e-01 -8.758648e-08 4.196348e-14 4.669153e-08 4.089491e-08 -3.258314e-03 1.561088e-09 1.000000e+00 4.621172e-01
2.042000e+00 5.369738e-06 5.369738e-06 5.816180e-01 2.689414e-01 -8.822066e-08 2.308665e-13 4.702660e-08 4.119383e-08 -3.285846e-03 8.598798e-09 1.000000e+00 4.621172e-01
2.043400e+00 5.363305e-06 5.363305e-06 5.816154e-01 2.689414e-01 -8.886378e-08 2.068237e-12 4.736542e-08 4.149629e-08 -3.313769e-03 7.712545e-08 1.000000e+00 4.621171e-01
2.044800e+00 5.356885e-06 5.356885e-06 5.816127e-01 2.689414e-01 -8.951045e-08 5.262267e-14 4.770808e-08 4.180232e-08 -3.341884e-03 1.964674e-09 1.000000e+00 4.621172e-01
2.046200e+00 5.350478e-06 5.350478e-06 5.816101e-01 2.689414e-01 -9.016685e-08 2.444458e-13 4.805461e-08 4.211200e-08 -3.370422e-03 9.137345e-09 1.000000e+00 4.621172e-01
2.047600e+00 5.344084e-06 5.344084e-06 5.816074e-01 2.689414e-01 -9.083055e-08 9.949091e-14 4.840508e-08 4.242536e-08 -3.399293e-03 3.723404e-09 1.000000e+00 4.621172e-01
2.049000e+00 5.337703e-06 5.337703e-06 5.816047e-01 2.689414e-01 -9.150258e-08 5.312995e-13 4.875957e-08 4.274248e-08 -3.428538e-03 1.990742e-08 1.000000e+00 4.621172e-01
2.050400e+00 5.331335e-06 5.331335e-06 5.816019e-01 2.689414e-01 -9.218157e-08 3.309600e-14 4.911812e-08 4.306342e-08 -3.458105e-03 1.241565e-09 1.000000e+00 4.621172e-01
2.051800e+00 5.324979e-06 5.324979e-06 5.815991e-01 2.689414e-01 -9.286932e-08 2.942924e-13 4.948080e-08 4.338823e-08 -3.488063e-03 1.105328e-08 1.000000e+00 4.621172e-01
2.053200e+00 5.318637e-06 5.318637e-06 5.815963e-01 2.689414e-01 -9.356474e-08 8.689729e-14 4.984768e-08 4.371698e-08 -3.518373e-03 3.267653e-09 1.000000e+00 4.621172e-01
2.054600e+00 5.312307e-06 5.312307e-06 5.815934e-01 2.689414e-01 -9.427015e-08 1.599800e-12 5.021883e-08 4.404972e-08 -3.549123e-03 6.022994e-08 1.000000e+00 4.621172e-01
2.056000e+00 5.305990e-06 5.305990e-06 5.815906e-01 2.689414e-01 -9.498086e-08 9.994712e-15 5.059431e-08 4.438654e-08 -3.580137e-03 3.767331e-10 1.000000e+00 4.621172e-01
2.057400e+00 5.299686e-06 5.299686e-06 5.815876e-01 2.689414e-01 -9.570174e-08 5.618810e-14 5.097419e-08 4.472749e-08 -3.611600e-03 2.120431e-09 1.000000e+00 4.621172e-01
2.058800e+00 5.293396e-06 5.293396e-06 5.815847e-01 2.689414e-01 -9.643202e-08 8.274338e-13 5.135855e-08 4.507264e-08 -3.643484e-03 3.126287e-08 1.000000e+00 4.621172e-01
2.060200e+00 5.287117e-06 5.287117e-06 5.815815e-01 2.689415e-01 -9.720643e-08 3.693543e-11 5.174745e-08 4.542205e-08 -3.677105e-03 1.397186e-06 1.000000e+00 4.621170e-01
